"lek","gaps","convg","cost.type","Y.cost.vals.1."
"file5adc32d6fb71song.seq_LK11_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc37851478song.seq_LK1_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc517eae8song.seq_LK2_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc4e47f9b0song.seq_LK3_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc202968desong.seq_LK4_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc57c34048song.seq_LK5_SongsSeq.fa",23,"Y","increasing","1.2_1.5_1.8"
"file5adc55dba018song.seq_LK6_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc56a4ef25song.seq_LK7_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc7e565771song.seq_LK8_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adcb95565csong.seq_LK9_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc49a6e69esong.seq_LK10_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc5e880e92song.seq_LK11_SongsSeq.fa",11,"Y","increasing","1.2_1.5_1.8"
"file5adc5cae4f93song.seq_LK1_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc2559e357song.seq_LK2_SongsSeq.fa",39,"N","increasing","1.2_1.5_1.8"
"file5adc58b83d5asong.seq_LK3_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc5d51631fsong.seq_LK4_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
"file5adc1adbeef6song.seq_LK5_SongsSeq.fa",21,"Y","increasing","1.2_1.5_1.8"
"file5adc536e8871song.seq_LK6_SongsSeq.fa",31,"N","increasing","1.2_1.5_1.8"
"file5adc27df4779song.seq_LK7_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc64eba5c7song.seq_LK8_SongsSeq.fa",20,"Y","increasing","1.2_1.5_1.8"
"file5adc52c6a760song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc510f51e4song.seq_LK10_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc3dbf408csong.seq_LK11_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc636c8f5csong.seq_LK1_SongsSeq.fa",29,"N","increasing","1.2_1.5_1.8"
